predicted,Actual
105.24561402571011,127.0
86.56215547758691,116.0
84.9098312597633,123.0
63.47978439166531,82.0
68.82263385671506,76.0
65.47805016063863,58.0
57.76733459203427,46.0
47.70593310879622,34.0
29.136588312997436,25.0
14.770633013843359,15.4
11.589465834962793,12.8
9.40878838232202,10.3
9.688082864928422,18.5
59.10129015932976,74.0
26.81499883565184,34.7
62.68910600698264,78.0
31.778158050562745,61.3
28.846331389971603,41.9
30.35278993792802,81.7
81.4129839227422,87.1
26.059964801551093,41.0
31.4988158847808,74.0
8.214736429634607,13.5
34.80110776153345,22.0
22.32841082542749,15.7
20.716226973048418,10.3
41.24054438580497,34.0
97.88539769541093,71.6
76.98143346606656,51.1
72.87300313663823,70.4
31.013526089641182,14.8
14.993912745859049,20.6
8.84106465617987,5.6
23.646621280569928,43.2
11.016296915294571,5.3
91.04411341380906,83.7
6.924275567196867,10.3
33.448834355456356,22.9
126.02649970157582,66.7
62.4372651830189,43.7
79.0608236657351,61.6
58.49893385913556,69.0
23.741990201323148,44.9
48.15071054256526,22.0
43.26421291773733,55.8
5.404096266761044,2.0
47.71308912089588,74.6
27.06745898558641,49.5
14.152682426054673,13.6
